fonte,titulo,tipo_arquivo,url_download,status_code,ativo,tamanho_kb,content_type,erro,verificado_em
ABDI,Demonstrações Contábeis - DFC - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Demonstracoes_Contabeis_DFC_2024.CSV,200.0,True,1.47,application/octet-stream,,2026-07-21 09:47:27
ABDI,Demonstrações Contábeis - DMPL - 2025 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Demonstracoes_Contabeis_DMPL%201(in).csv,200.0,True,1.14,application/octet-stream,,2026-07-21 09:47:27
ABDI,Demonstrações Contábeis - DMPL - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Demonstracoes_Contabeis_DMPL_2024.CSV,200.0,True,0.75,application/octet-stream,,2026-07-21 09:47:27
ABDI,Demonstrações Contábeis - DMPL - 2023 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Demonstracoes_Contabeis_DMPL_2023.CSV,200.0,True,2.39,application/octet-stream,,2026-07-21 09:47:27
ABDI,Demonstrações Contábeis - DMPL - 2022 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Demonstracoes_Contabeis_DMPL_2022.CSV,200.0,True,1.94,application/octet-stream,,2026-07-21 09:47:27
ABDI,Demonstrações Contábeis - Notas Explicativas - 2024 ,rtf,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Notas_Explicativas_2024.rtf,200.0,True,834.92,application/rtf,,2026-07-21 09:47:27
ABDI,Despesas por Modalidade de Licitação - 2025 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Despesas_por_Modalidade_de_Licitacao_2025.CSV,200.0,True,0.32,application/octet-stream,,2026-07-21 09:47:27
ABDI,Despesas Pagas - Últimos 5 anos ,csv,https://transparencia.abdi.com.br/Documents/Dicionarios/2021%20-%20Junho.2026(2021%20-%2006%20csv.csv,200.0,True,3046.29,application/octet-stream,,2026-07-21 09:47:27
ABDI,Diretoria Executiva e Conselheiros - Atual ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Diretoria_Executiva_e_Conselheiros_Atual.CSV,200.0,True,3.81,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Ações - 2025 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Acoes_2025.csv,200.0,True,1.8,application/octet-stream,,2026-07-21 09:47:27
